,Year,VEVFX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,,,,,,0.56,16.0,16.0
1,2011,-2.36,2.11,-4.07,-4.48,1.7,0.57,41.0,37.0
2,2012,18.66,16.0,15.46,2.66,3.2,0.59,38.0,18.0
3,2013,38.15,32.39,37.39,5.76,0.76,0.6,46.0,42.0
4,YTD,2.95,13.98,1.83,-11.02,1.13,0.57,36.0,41.0
