,Year,MKLRX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,,,,,,0.62,109.0,109.0
1,2009,21.01,26.46,28.17,-5.45,-7.16,0.66,168.0,86.0
2,2010,11.61,15.06,14.01,-3.45,-2.39,0.67,173.0,80.0
3,2011,0.45,2.11,-1.27,-1.66,1.72,0.67,129.0,37.0
4,2012,14.78,16.0,14.96,-1.22,-0.18,0.59,128.0,50.0
5,2013,34.15,32.39,31.5,1.76,2.65,0.59,50.0,26.0
6,YTD,11.22,13.98,11.28,-2.76,-0.06,0.5,40.0,59.0
