,Year,FCEQX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,-44.63,-37.0,-37.79,-7.63,-6.84,1.22,35.0,92.0
1,2009,53.78,26.46,28.17,27.31,25.61,1.17,83.0,2.0
2,2010,14.22,15.06,14.01,-0.85,0.21,1.09,43.0,45.0
3,2011,-2.01,2.11,-1.27,-4.12,-0.74,1.1,64.0,61.0
4,2012,8.31,16.0,14.96,-7.69,-6.65,1.21,52.0,97.0
5,2013,36.37,32.39,31.5,3.99,4.87,1.19,74.0,13.0
6,YTD,16.59,13.98,11.28,2.61,5.31,1.22,43.0,2.0
