,Year,PARFX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,6.62,8.63,5.91,-2.01,0.71,0.25,24.0,52.0
1,2008,-39.03,-22.19,-38.67,-16.84,-0.37,0.25,13.0,49.0
2,2009,38.72,21.77,32.02,16.95,6.7,0.24,8.0,6.0
3,2010,16.09,12.33,14.53,3.76,1.56,0.25,8.0,14.0
4,2011,-3.68,0.59,-3.82,-4.27,0.13,0.25,23.0,31.0
5,2012,17.21,12.04,15.07,5.17,2.15,0.25,32.0,8.0
6,2013,25.59,14.31,21.02,11.28,4.57,0.25,14.0,13.0
7,YTD,7.4,5.81,6.68,1.59,0.72,0.25,16.0,32.0
