,Year,JPCIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,0.29,4.21,3.67,-3.92,-3.37,0.16,0.16,97.0
1,2013,0.18,-2.02,0.45,2.2,-0.27,0.18,42.0,59.0
2,YTD,0.13,5.87,1.45,-5.74,-1.32,0.16,33.0,96.0
