,Year,RFRAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2006,,,,,,1.0,49.0,49.0
1,2007,1.42,6.97,1.09,-5.54,0.34,1.03,91.0,36.0
2,2008,-30.44,5.24,-29.72,-35.68,-0.72,1.06,43.0,56.0
3,2009,42.25,5.93,41.81,36.32,0.43,1.01,84.0,47.0
4,2010,11.2,6.54,9.44,4.66,1.76,1.08,68.0,13.0
5,2011,1.07,7.84,1.63,-6.77,-0.56,1.08,69.0,74.0
6,2012,10.41,4.21,9.43,6.2,0.98,1.11,42.0,25.0
7,2013,5.35,-2.02,5.68,7.38,-0.33,1.09,85.0,45.0
8,YTD,2.08,5.87,1.88,-3.79,0.2,1.06,57.0,37.0
