,Year,CMMAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,1.45,5.0,5.0
1,2012,5.73,4.21,7.5,1.51,-1.77,1.48,285.0,67.0
2,2013,-2.83,-2.02,0.29,-0.81,-3.12,1.48,1.0,87.0
3,YTD,-0.2,5.87,1.86,-6.07,-2.07,1.51,15.0,80.0
