,Year,JSRAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2006,,,,,,0.41,1.0,1.0
1,2007,4.79,8.63,4.46,-3.85,0.33,0.42,38.0,54.0
2,2008,-17.23,-22.19,-18.06,4.97,0.83,0.42,38.0,51.0
3,2009,21.08,21.77,18.36,-0.69,2.72,0.42,63.0,27.0
4,2010,11.14,12.33,8.94,-1.19,2.2,0.28,10.0,10.0
5,2011,0.9,0.59,1.6,0.3,-0.7,0.27,30.0,57.0
6,2012,9.99,12.04,9.01,-2.05,0.99,0.27,10.0,31.0
7,2013,7.62,14.31,7.36,-6.69,0.25,0.27,20.0,40.0
8,YTD,5.54,5.81,5.03,-0.27,0.51,0.27,11.0,36.0
