,Year,CBFAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,1.08,38.0,38.0
1,2012,12.71,12.04,10.74,0.66,1.97,0.98,62.0,30.0
2,2013,17.06,14.31,10.07,2.75,6.99,1.0,92.0,17.0
3,YTD,6.16,5.81,3.26,0.35,2.9,2.9,2.9,14.0
