,Year,FIAGX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,-41.45,-45.53,-46.56,4.08,5.12,1.48,115.0,12.0
1,2009,36.12,41.45,38.02,-5.33,-1.9,1.47,116.0,55.0
2,2010,16.77,11.15,14.78,5.62,1.99,1.48,87.0,26.0
3,2011,-9.26,-13.71,-12.3,4.45,3.04,1.43,68.0,26.0
4,2012,19.39,16.83,17.7,2.56,1.7,1.44,32.0,34.0
5,2013,21.87,15.29,18.58,6.59,3.29,1.42,32.0,28.0
6,YTD,-0.54,-0.27,-0.63,-0.27,0.09,0.09,0.09,42.0
