,Year,FAMMX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,0.63,0.63,0.63
1,2012,2.83,6.78,1.92,-3.95,0.91,0.65,5.0,95.0
2,2013,0.98,-2.55,-0.07,3.53,1.05,0.65,0.65,3.0
3,YTD,1.42,8.5,1.6,-7.08,-0.18,0.65,0.65,48.0
