,Year,CFTAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,,,,,,0.08,0.08,0.08
1,2013,15.52,14.31,16.48,1.21,-0.96,0.43,0.43,64.0
2,YTD,7.55,5.81,6.95,1.74,0.6,0.6,0.6,40.0
