,Year,JOBBX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,21.03,14.31,19.97,6.73,1.06,0.27,52.0,57.0
1,YTD,8.1,5.81,6.5,2.3,1.6,0.22,22.0,16.0
