,Year,FINGX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,,,,,,1.7,45.0,45.0
1,2009,81.64,41.45,85.2,40.19,-3.56,1.7,72.0,71.0
2,2010,26.05,11.15,20.55,14.9,5.5,1.7,83.0,25.0
3,2011,-31.23,-13.71,-35.5,-17.53,4.27,1.7,39.0,6.0
4,2012,21.17,16.83,29.69,4.34,-8.52,1.68,41.0,93.0
5,2013,-4.07,15.29,-11.23,-19.35,7.17,1.68,17.0,8.0
6,YTD,46.62,-0.27,45.37,46.89,1.25,1.25,1.25,45.0
