,Year,OAAAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2006,13.93,12.95,16.61,0.98,-2.68,0.55,90.0,31.0
1,2007,5.47,8.63,11.39,-3.16,-5.92,0.5,40.0,74.0
2,2008,-40.47,-22.19,-28.98,-18.28,-11.49,0.48,18.0,90.0
3,2009,27.09,21.77,24.37,5.32,2.72,0.53,28.0,66.0
4,2010,14.65,12.33,10.58,2.32,4.07,0.6,31.0,26.0
5,2011,-5.14,0.59,-3.99,-5.73,-1.15,0.57,54.0,72.0
6,2012,13.12,12.04,10.74,1.08,2.38,0.55,21.0,58.0
7,2013,21.64,14.31,10.07,7.33,11.57,0.52,28.0,47.0
8,YTD,5.3,5.81,3.26,-0.51,2.04,0.54,9.0,21.0
