,Year,FXIFX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,13.65,12.33,13.47,1.32,0.18,0.03,21.0,47.0
1,2011,-1.14,0.59,-2.26,-1.73,1.11,0.05,16.0,20.0
2,2012,11.77,12.04,13.59,-0.28,-1.82,0.09,18.0,84.0
3,2013,15.69,14.31,16.65,1.38,-0.96,0.1,10.0,69.0
4,YTD,7.64,5.81,6.17,1.83,1.47,0.08,32.0,12.0
