,Year,PSCSX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,1.64,5.49,-1.1,-3.85,2.74,0.74,671.0,27.0
1,2008,-31.05,-37.0,-36.56,5.95,5.51,0.71,403.0,15.0
2,2009,44.3,26.46,31.8,17.83,12.49,0.69,609.0,13.0
3,2010,39.14,15.06,25.61,24.07,13.53,0.69,762.0,2.0
4,2011,-4.68,2.11,-4.07,-6.79,-0.61,0.69,571.0,64.0
5,2012,28.64,16.0,15.46,12.63,13.18,0.69,666.0,1.0
6,2013,37.45,32.39,37.39,5.06,0.06,0.69,566.0,50.0
7,YTD,4.07,13.98,1.83,-9.91,2.24,0.69,428.0,24.0
