,Year,JRBBX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,18.02,14.31,16.65,3.71,1.37,0.26,30.0,48.0
1,YTD,7.87,5.81,6.17,2.06,1.7,0.22,36.0,9.0
