,Year,JRNAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,0.61,13.0,13.0
1,2012,2.85,12.04,9.4,-9.19,-6.54,0.61,42.0,95.0
2,2013,-1.85,14.31,7.23,-16.16,-9.08,0.61,39.0,95.0
3,YTD,2.97,5.81,4.98,-2.83,-2.01,0.61,59.0,89.0
