,Year,FLIFX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,10.87,12.33,11.5,-1.47,-0.63,0.03,31.0,67.0
1,2011,1.0,0.59,-0.27,0.41,1.28,0.06,19.0,26.0
2,2012,9.14,12.04,10.65,-2.9,-1.5,0.09,23.0,83.0
3,2013,10.0,14.31,9.65,-4.31,0.34,0.1,14.0,55.0
4,YTD,6.36,5.81,5.38,0.55,0.98,0.09,29.0,20.0
