,Year,FFFZX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,9.43,8.63,6.89,0.8,2.54,0.25,16.0,20.0
1,2008,-41.34,-22.19,-38.11,-19.15,-3.24,0.24,22.0,88.0
2,2009,33.1,21.77,30.88,11.33,2.22,0.25,18.0,28.0
3,2010,16.24,12.33,14.6,3.91,1.65,0.25,14.0,9.0
4,2011,-5.07,0.59,-4.1,-5.66,-0.97,0.25,32.0,77.0
5,2012,14.46,12.04,15.31,2.42,-0.85,0.25,11.0,81.0
6,2013,20.92,14.31,22.0,6.61,-1.08,0.25,25.0,73.0
7,YTD,6.5,5.81,6.65,0.69,-0.15,0.25,46.0,57.0
