,Year,VMMSX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,0.89,18.0,18.0
1,2012,22.57,16.83,18.15,5.74,4.42,0.92,93.0,16.0
2,2013,0.99,15.29,-0.14,-14.3,1.13,0.94,54.0,30.0
3,YTD,-0.5,-0.27,1.96,-0.23,-2.47,-2.47,-2.47,78.0
