,Year,FKIFX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,10.65,12.33,10.68,-1.69,-0.03,0.03,21.0,52.0
1,2011,1.1,0.59,0.91,0.51,0.2,0.05,36.0,40.0
2,2012,8.91,12.04,9.61,-3.13,-0.69,0.09,33.0,66.0
3,2013,9.23,14.31,8.3,-5.08,0.93,0.1,21.0,47.0
4,YTD,5.86,5.81,4.98,0.05,0.88,0.09,39.0,18.0
