,Year,JSIAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,1.92,7.84,-1.29,-5.92,3.21,1.0,33.0,76.0
1,2012,6.39,4.21,7.5,2.17,-1.12,0.97,185.0,94.0
2,2013,3.18,-2.02,0.29,5.2,2.89,0.96,269.0,29.0
3,YTD,1.17,5.87,1.86,-4.69,-0.69,0.97,106.0,59.0
