,Year,PMZAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,3.04,-2.02,0.29,5.06,2.75,1.0,427.0,22.0
1,YTD,5.05,5.87,1.86,-0.82,3.19,1.0,736.0,14.0
