,Year,FAMPX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,0.63,0.63,0.63
1,2012,1.82,6.78,1.92,-4.96,-0.1,0.65,3.0,46.0
2,2013,0.53,-2.55,-0.07,3.08,0.6,0.65,0.65,24.0
3,YTD,0.13,8.5,1.6,-8.37,-1.47,0.65,10.0,96.0
