,Year,FLGEX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,-37.03,-37.0,-40.67,-0.03,3.64,0.45,36.0,21.0
1,2009,35.07,26.46,35.68,8.61,-0.61,0.45,86.0,45.0
2,2010,13.98,15.06,15.53,-1.09,-1.55,0.45,81.0,62.0
3,2011,4.43,2.11,-2.46,2.32,6.89,0.45,80.0,4.0
4,2012,13.42,16.0,15.34,-2.58,-1.92,0.45,77.0,69.0
5,2013,35.07,32.39,33.92,2.68,1.15,0.45,87.0,37.0
6,YTD,15.13,13.98,10.79,1.16,4.34,0.45,83.0,8.0
