,Year,BRRAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,5.02,14.31,7.23,-9.28,-2.21,1.05,40.0,74.0
1,YTD,-0.39,5.81,4.98,-6.2,-5.37,1.05,140.0,97.0
