,Year,JTSAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,-33.78,-22.19,-38.67,-11.59,4.89,0.44,63.0,3.0
1,2009,33.42,21.77,32.02,11.64,1.39,0.44,66.0,33.0
2,2010,16.73,12.33,14.53,4.39,2.19,0.3,29.0,8.0
3,2011,-5.02,0.59,-3.82,-5.61,-1.2,0.29,16.0,68.0
4,2012,18.0,12.04,15.07,5.96,2.94,0.29,11.0,2.0
5,2013,22.76,14.31,21.02,8.45,1.74,0.29,15.0,59.0
6,YTD,8.44,5.81,6.68,2.63,1.76,0.29,8.0,14.0
