,Year,FFKVX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,10.64,12.33,10.68,-1.7,-0.04,0.06,40.0,52.0
1,2011,0.36,0.59,0.91,-0.23,-0.55,0.05,47.0,60.0
2,2012,8.77,12.04,9.61,-3.27,-0.83,0.05,37.0,70.0
3,2013,8.15,14.31,8.3,-6.16,-0.15,0.05,29.0,55.0
4,YTD,5.25,5.81,4.98,-0.55,0.28,0.05,55.0,39.0
