,Year,BAREX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,2.43,26.68,1.55,-24.25,0.88,1.3,25.0,27.0
1,YTD,28.12,6.66,25.93,21.47,2.19,1.3,59.0,26.0
