,Year,JMGIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,0.42,7.84,0.25,-7.42,0.17,0.25,29.0,90.0
1,2012,0.72,4.21,1.99,-3.49,-1.27,0.24,174.0,95.0
2,2013,0.44,-2.02,0.49,2.46,-0.05,0.25,124.0,48.0
3,YTD,0.38,5.87,0.49,-5.49,-0.11,0.25,143.0,58.0
