,Year,VSTBX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,5.58,6.54,4.11,-0.97,1.47,0.09,68.0,16.0
1,2011,2.99,7.84,1.66,-4.85,1.33,0.09,63.0,11.0
2,2012,5.78,4.21,3.67,1.56,2.11,0.09,65.0,14.0
3,2013,1.38,-2.02,0.45,3.4,0.92,0.09,61.0,15.0
4,YTD,2.39,5.87,1.45,-3.48,0.94,0.09,56.0,12.0
