,Year,BAPHX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,,,,,,0.56,36.0,36.0
1,2008,-35.99,-22.19,-37.94,-13.79,1.95,0.59,80.0,26.0
2,2009,28.45,21.77,30.9,6.67,-2.46,0.69,29.0,72.0
3,2010,13.81,12.33,14.37,1.47,-0.57,0.66,114.0,58.0
4,2011,-3.14,0.59,-3.49,-3.73,0.36,0.66,99.0,30.0
5,2012,13.69,12.04,14.64,1.65,-0.95,0.68,68.0,76.0
6,2013,20.51,14.31,19.97,6.2,0.54,0.51,102.0,61.0
7,YTD,5.21,5.81,6.5,-0.6,-1.29,-1.29,-1.29,81.0
