,Year,JTAAX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,2.45,6.78,1.92,-4.33,0.53,0.75,293.0,98.0
1,2013,0.5,-2.55,-0.07,3.05,0.57,0.75,309.0,2.0
2,YTD,0.57,8.5,1.6,-7.94,-1.04,0.76,186.0,82.0
