,Year,FPADX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,0.12,0.12,0.12
1,2012,17.62,16.83,18.15,0.79,-0.52,0.12,62.0,60.0
2,2013,-4.69,15.29,-0.14,-19.98,-4.55,0.1,33.0,74.0
3,YTD,5.65,-0.27,1.96,5.92,3.69,3.69,3.69,14.0
