,Year,FFKCX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,11.77,12.33,10.68,-0.56,1.09,0.05,29.0,24.0
1,2011,-0.19,0.59,0.91,-0.78,-1.1,0.05,42.0,72.0
2,2012,10.53,12.04,9.61,-1.51,0.93,0.05,28.0,33.0
3,2013,11.2,14.31,8.3,-3.11,2.9,0.05,30.0,14.0
4,YTD,5.68,5.81,4.98,-0.12,0.71,0.05,39.0,21.0
