,Year,GBOAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,5.01,-2.02,-2.62,7.04,7.63,0.9,117.0,1.0
1,YTD,3.62,5.87,2.75,-2.25,0.87,0.89,77.0,32.0
