,Year,FIHFX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2010,14.42,12.33,14.28,2.08,0.14,0.03,23.0,52.0
1,2011,-2.43,0.59,-3.51,-3.03,1.08,0.05,12.0,23.0
2,2012,12.83,12.04,14.64,0.78,-1.82,0.08,15.0,88.0
3,2013,18.25,14.31,20.0,3.94,-1.75,0.09,8.0,78.0
4,YTD,7.89,5.81,6.47,2.08,1.42,0.08,25.0,14.0
