,Year,CMSAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,1.57,16.0,16.0
1,2012,1.17,12.04,3.87,-10.87,-2.69,1.38,132.0,75.0
2,2013,1.39,14.31,4.16,-12.92,-2.77,1.68,61.0,68.0
3,YTD,-2.89,5.81,2.17,-8.7,-5.06,1.58,88.0,87.0
