,Year,FSAMX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,-18.06,-13.71,-19.86,-4.35,1.79,0.1,18.0,33.0
1,2012,20.11,16.83,18.15,3.28,1.96,0.02,11.0,31.0
2,2013,-2.21,15.29,-0.14,-17.5,-2.07,0.1,26.0,53.0
3,YTD,3.24,-0.27,1.96,3.51,1.28,0.21,21.0,33.0
