,Year,CRAAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,-6.16,14.31,8.62,-20.46,-14.78,0.6,76.0,97.0
1,YTD,10.8,5.81,3.73,5.0,7.07,0.75,303.0,5.0
