,Year,FEKPX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,12.69,14.31,11.57,-1.62,1.12,0.09,1.0,49.0
1,YTD,6.12,5.81,5.64,0.32,0.48,0.1,51.0,31.0
