,Year,CEEAX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2011,,,,,,1.18,8.0,8.0
1,2012,13.14,15.83,17.6,-2.68,-4.45,1.17,74.0,98.0
2,2013,0.45,26.68,1.55,-26.22,-1.1,1.17,106.0,77.0
3,YTD,20.23,6.66,25.93,13.58,-5.7,-5.7,-5.7,88.0
