,Year,FMJDX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,22.22,15.29,19.44,6.93,2.78,1.16,42.0,22.0
1,YTD,-1.07,-0.27,-1.63,-0.8,0.56,1.17,46.0,38.0
