,Year,PAIAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,0.37,-2.02,0.49,2.39,-0.12,0.59,5301.0,55.0
1,YTD,0.31,5.87,0.49,-5.56,-0.18,0.59,882.0,70.0
