,Year,CBAAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,,,,,,0.23,9.0,9.0
1,2013,18.1,14.31,16.48,3.79,1.62,0.39,0.39,38.0
2,YTD,7.64,5.81,6.95,1.83,0.69,0.69,0.69,38.0
