,Year,FNKLX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,28.95,32.39,31.21,-3.44,-2.26,0.59,47.0,75.0
1,YTD,10.57,13.98,10.25,-3.4,0.32,0.65,42.0,50.0
