,Year,JMBRX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,20.89,14.31,22.0,6.59,-1.1,0.26,64.0,74.0
1,YTD,8.12,5.81,6.65,2.32,1.48,0.21,31.0,18.0
