,Year,AABTX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,,,,,,0.37,0.37,0.37
1,2008,-29.08,-22.19,-27.76,-6.89,-1.32,0.34,3.0,49.0
2,2009,24.58,21.77,23.55,2.81,1.04,0.3,2.0,55.0
3,2010,9.86,12.33,11.5,-2.47,-1.64,0.39,13.0,87.0
4,2011,1.85,0.59,-0.27,1.25,2.12,0.38,7.0,16.0
5,2012,11.31,12.04,10.65,-0.73,0.67,0.39,8.0,35.0
6,2013,15.25,14.31,9.65,0.95,5.6,0.36,7.0,2.0
7,YTD,7.34,5.81,5.38,1.54,1.96,1.96,1.96,4.0
