,Year,LPRFX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,,,,,,0.91,0.91,0.91
1,2009,30.08,21.77,32.02,8.31,-1.94,0.84,12.0,59.0
2,2010,13.14,12.33,14.53,0.81,-1.39,0.92,5.0,77.0
3,2011,-4.06,0.59,-3.82,-4.65,-0.24,0.94,0.94,40.0
4,2012,15.8,12.04,15.07,3.75,0.73,0.96,5.0,35.0
5,2013,19.48,14.31,21.02,5.17,-1.54,1.31,28.0,78.0
6,YTD,6.78,5.81,6.68,0.97,0.09,0.09,0.09,50.0
