,Year,JECAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,,,,,,1.25,65.0,65.0
1,2013,-10.82,-2.02,-7.27,-8.8,-3.55,1.21,221.0,86.0
2,YTD,-0.43,5.87,3.43,-6.3,-3.86,-3.86,-3.86,83.0
