,Year,BABDX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,,,,,,1.0,91.0,91.0
1,2009,22.93,41.45,35.27,-18.51,-12.34,1.0,30.0,58.0
2,2010,8.73,11.15,13.74,-2.42,-5.01,1.0,3.0,80.0
3,2011,7.94,-13.71,-7.93,21.65,15.87,1.14,14.0,3.0
4,2012,10.06,16.83,15.84,-6.77,-5.78,1.11,24.0,90.0
5,2013,19.3,15.29,25.19,4.01,-5.89,1.06,18.0,80.0
6,YTD,6.25,-0.27,4.54,6.52,1.71,1.03,14.0,30.0
