,Year,CFIAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,14.14,12.04,11.72,2.1,2.42,1.1,36.0,13.0
1,2013,17.99,14.31,16.48,3.68,1.51,1.1,63.0,39.0
2,YTD,5.13,5.81,6.95,-0.67,-1.82,1.02,48.0,83.0
