,Year,TMGGX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,19.98,16.83,18.15,3.15,1.83,1.55,92.0,34.0
1,2013,-4.47,15.29,-0.14,-19.76,-4.33,1.55,99.0,72.0
2,YTD,3.64,-0.27,1.96,3.91,1.68,1.68,1.68,28.0
