,Year,BAPKX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,,,,,,0.61,53.0,53.0
1,2008,-37.6,-22.19,-38.67,-15.41,1.07,0.67,102.0,28.0
2,2009,28.07,21.77,32.02,6.29,-3.96,0.68,49.0,90.0
3,2010,13.9,12.33,14.53,1.57,-0.63,0.67,104.0,64.0
4,2011,-3.26,0.59,-3.82,-3.85,0.56,0.67,96.0,19.0
5,2012,14.15,12.04,15.07,2.1,-0.92,0.68,81.0,80.0
6,2013,23.34,14.31,21.02,9.03,2.32,0.49,93.0,48.0
7,YTD,4.92,5.81,6.68,-0.89,-1.77,-1.77,-1.77,87.0
