,Year,FBLYX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,,,,,,1.44,36.0,36.0
1,2013,24.99,15.29,25.19,9.7,-0.2,1.43,78.0,52.0
2,YTD,7.0,-0.27,4.54,7.28,2.47,2.47,2.47,24.0
