,Year,FLMLX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2013,28.77,32.39,31.21,-3.62,-2.44,0.68,34.0,76.0
1,YTD,10.65,13.98,10.25,-3.33,0.4,0.68,44.0,47.0
