,Year,TRIAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,,,,,,1.25,1.25,1.25
1,2009,27.65,41.45,41.45,-13.79,-13.79,1.25,122.0,99.0
2,2010,17.92,11.15,11.15,6.77,6.77,1.25,84.0,57.0
3,2011,-15.95,-13.71,-13.71,-2.25,-2.25,1.25,97.0,18.0
4,2012,20.29,16.83,16.83,3.46,3.46,1.25,66.0,28.0
5,2013,24.08,15.29,13.4,8.79,10.67,1.25,52.0,15.0
6,YTD,14.49,-0.27,-4.41,14.76,18.9,18.9,18.9,1.0
