,Year,GLVAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2008,-47.04,-45.53,-41.91,-1.51,-5.13,1.39,74.0,84.0
1,2009,73.81,41.45,35.27,32.36,38.54,1.4,114.0,3.0
2,2010,25.57,11.15,13.74,14.42,11.83,1.4,85.0,5.0
3,2011,-7.94,-13.71,-7.93,5.77,-0.01,1.4,37.0,50.0
4,2012,19.55,16.83,15.84,2.72,3.71,1.34,62.0,23.0
5,2013,42.58,15.29,25.19,27.29,17.39,1.34,87.0,2.0
6,YTD,-3.93,-0.27,4.54,-3.66,-8.47,1.3,59.0,95.0
