,Year,FIBIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2006,2.64,4.33,3.47,-1.69,-0.82,-0.82,-0.82,85.0
1,2007,10.06,6.97,6.09,3.09,3.97,0.2,100.0,1.0
2,2008,16.37,5.24,4.76,11.13,11.61,0.2,85.0,1.0
3,2009,-5.04,5.93,4.74,-10.97,-9.78,0.2,89.0,99.0
4,2010,8.47,6.54,5.66,1.93,2.82,0.2,114.0,7.0
5,2011,12.92,7.84,6.7,5.08,6.23,0.2,45.0,1.0
6,2012,3.31,4.21,2.8,-0.91,0.51,0.2,76.0,27.0
7,2013,-4.79,-2.02,-2.72,-2.77,-2.07,0.2,54.0,94.0
8,YTD,6.46,5.87,4.77,0.6,1.69,0.2,46.0,3.0
