,Year,PTCIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2009,,,,,,0.55,0.55,0.55
1,2010,13.13,6.54,10.0,6.59,3.13,0.55,166.0,6.0
2,2011,17.1,7.84,7.46,9.26,9.64,0.55,341.0,2.0
3,2012,17.87,4.21,11.06,13.66,6.81,0.55,259.0,1.0
4,2013,-4.41,-2.02,-1.06,-2.38,-3.34,0.55,71.0,93.0
5,YTD,17.94,5.87,7.18,12.08,10.77,0.55,94.0,1.0
