,Year,JLTAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2007,,,,,,1.9,39.0,39.0
1,2008,-57.29,-45.53,-59.15,-11.76,1.86,1.92,134.0,81.0
2,2009,109.98,41.45,115.54,68.53,-5.56,1.9,96.0,44.0
3,2010,22.59,11.15,15.45,11.44,7.14,1.88,85.0,5.0
4,2011,-20.61,-13.71,-22.64,-6.9,2.03,1.89,53.0,33.0
5,2012,14.07,16.83,9.78,-2.76,4.29,1.86,49.0,18.0
6,2013,-10.8,15.29,-11.96,-26.09,1.16,1.7,37.0,47.0
7,YTD,-3.15,-0.27,-4.65,-2.88,1.5,1.5,1.5,40.0
