,Year,FGAAX_Returns,Morningstar Moderate Target Risk,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2012,10.65,12.04,10.74,-1.39,-0.09,1.08,15.0,57.0
1,2013,9.42,14.31,10.07,-4.89,-0.65,1.16,48.0,65.0
2,YTD,1.17,5.81,3.26,-4.64,-2.09,1.2,40.0,84.0
